,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/Ey7Cltt.png,1.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/5UHtN5P.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/Qlyknou.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/xlphMu7.png,1.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/hUa98Yb.png,1.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/uQRvA31.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/J9Aey5j.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/B2MCEJr.png,14.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/TX6lsZG.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/wTunkva.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/dtNWGim.png,23.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/hLbT351.png,26.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/YuG5Kzt.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/2lFzQqT.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/WDTojPE.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/NOdmiqz.png,4.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/VaTpGSr.png,26.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/cbKauBl.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,https://i.imgur.com/oMyLsU1.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,https://i.imgur.com/Db9wbUT.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
