,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/P8z2c88.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/2lZDopV.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/zZMrDPo.png,11.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/Eg5ZPsU.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/U82ZCsA.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/0N51Yda.png,14.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/2d8x9Nn.png,14.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/GwXghh6.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/i0BqCCe.png,4.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/RfyBciA.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/DoVBCWc.png,19.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/28VbZJp.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/ujfjNgv.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/nGdvUB7.png,29.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/AY9YgUL.png,2.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/Ed9zj5H.png,23.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/VxriXJD.png,26.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/qf1Ezwm.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,https://i.imgur.com/IN2G7v2.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,https://i.imgur.com/8U5PDsN.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
