,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/PPcZGKR.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/4UUMLMs.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/ssj3cCP.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/DQgAZ0O.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/ZdcltlH.png,14.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/Bjcy48M.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/gk01iGz.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/KVtaHz0.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/u4GPG9G.png,11.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/Snw14Py.png,19.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/ch2NSpm.png,26.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/UvwrikW.png,14.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/m0dUCen.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/4fji2ng.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/k8N0gQR.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/fHOZPTA.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/CgO18mh.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/mMJuzam.png,14.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
