,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
2,a,https://i.imgur.com/uq4zq5h.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
3,d,https://i.imgur.com/mJm0jtF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
4,c,https://i.imgur.com/9pzzrek.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
5,d,https://i.imgur.com/tPffKWS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
6,d,https://i.imgur.com/TDNWCTt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
7,b,https://i.imgur.com/n42ySnH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
8,b,https://i.imgur.com/5Sjcx5P.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
10,b,https://i.imgur.com/d4w20mJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
11,c,https://i.imgur.com/IBcwKaS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
12,c,https://i.imgur.com/ZlbKrEZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
13,d,https://i.imgur.com/j1PL9e5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
14,d,https://i.imgur.com/HJ0dFRt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
15,a,https://i.imgur.com/aQn44c4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
16,c,https://i.imgur.com/lVfISP5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
17,a,https://i.imgur.com/jOPP48O.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
18,b,https://i.imgur.com/3H8K4po.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
19,c,https://i.imgur.com/Ge2n5Ww.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
20,c,https://i.imgur.com/ursjIk6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
21,b,https://i.imgur.com/qdmvJpy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
22,a,https://i.imgur.com/PmtvckY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
23,d,https://i.imgur.com/5EGFYP9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
24,d,https://i.imgur.com/NvEhsoC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
25,c,https://i.imgur.com/qVGnA3A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
26,a,https://i.imgur.com/d8cg7jF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
27,a,https://i.imgur.com/9zc8MhH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
28,c,https://i.imgur.com/14UZmVV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
29,a,https://i.imgur.com/J3uxkUI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
