,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/Ah1e1Cl.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/t2Uo9tD.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/baoxnnl.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/DUwAKap.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/ZIrSdO7.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/LZsuWo3.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,d,https://i.imgur.com/xAk5HrK.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,d,https://i.imgur.com/0XC2M39.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/Ze5SV2u.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/aDF59H0.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/SX9rB6F.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,c,https://i.imgur.com/Kz6RmJE.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/p0re5h7.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,d,https://i.imgur.com/NtS5dc3.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/YidjRhp.png,locopilot_electrical,A,B,C,D,20.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
