sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
12,a,https://i.imgur.com/HNUUkKT.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/Mefwu5L.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/g9FpQ0E.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/gVojslD.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/5V1KwMG.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,c,https://i.imgur.com/TCAkCMx.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/zmzyojf.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/r8jBDnl.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/5UFYUrt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/Ib80V83.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,d,https://i.imgur.com/dI5Szou.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/n75vT4o.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/ekZOX3l.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,c,https://i.imgur.com/hkA4MUJ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,d,https://i.imgur.com/JoVvYvg.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/46oB4hG.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,d,https://i.imgur.com/hv4vtuM.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,d,https://i.imgur.com/4jxhLkw.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,b,https://i.imgur.com/wEkocQz.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/k1gPKnf.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/c3Zi4HA.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/YfyE87l.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/pKApira.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/MuGOiqx.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/qnwPjUC.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/rUB08Td.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/2WTjYJ6.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,d,https://i.imgur.com/YomEuvx.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/Y5PqOYr.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,b,https://i.imgur.com/Jh4xhgF.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,d,https://i.imgur.com/JP1JMOx.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/CNEwU1V.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/7EyQEeo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/l09Fa7R.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,d,https://i.imgur.com/Bo4CiMT.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,a,https://i.imgur.com/neAZdyy.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,d,https://i.imgur.com/WwWCYSk.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,b,https://i.imgur.com/Wm2FiEM.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,a,https://i.imgur.com/gKKVDrj.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,b,https://i.imgur.com/EJwwUo4.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,a,https://i.imgur.com/T0Ga09W.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,d,https://i.imgur.com/3cuJVwt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/H0YrlVU.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/V8YwA4u.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,c,https://i.imgur.com/VlD0OvX.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,c,https://i.imgur.com/0VjLPzt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,b,https://i.imgur.com/vdN4dam.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,b,https://i.imgur.com/u6JOnkc.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,d,https://i.imgur.com/hZCLfd9.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,a,https://i.imgur.com/TkCuPRa.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,d,https://i.imgur.com/wfaEGXW.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,a,https://i.imgur.com/ZLsBiE1.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,b,https://i.imgur.com/9s34l0W.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,a,https://i.imgur.com/rZiUxWi.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,c,https://i.imgur.com/2DEtuZH.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,c,https://i.imgur.com/Kyuqntt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,d,https://i.imgur.com/mjugTSc.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,b,https://i.imgur.com/VSwZhMo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,c,https://i.imgur.com/cdulWGt.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,a,https://i.imgur.com/Q95I5qY.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,a,https://i.imgur.com/VtPJLP0.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,b,https://i.imgur.com/O57PaSP.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,a,https://i.imgur.com/wtbauyV.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,c,https://i.imgur.com/OstmWKr.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,c,https://i.imgur.com/c5eywdv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,c,https://i.imgur.com/lFomiTc.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,a,https://i.imgur.com/1aEZLWS.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,d,https://i.imgur.com/pP56KNo.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,c,https://i.imgur.com/hePZjZz.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,b,https://i.imgur.com/kxInm7M.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,a,https://i.imgur.com/zDBdmwS.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,b,https://i.imgur.com/GFWzyol.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,d,https://i.imgur.com/ImoQRVp.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,b,https://i.imgur.com/LShePxl.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,c,https://i.imgur.com/riGr33z.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,a,https://i.imgur.com/cWGSclh.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,b,https://i.imgur.com/v4futw3.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,b,https://i.imgur.com/VXfyCrh.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,b,https://i.imgur.com/CdycuSv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,a,https://i.imgur.com/mKz5NpX.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,c,https://i.imgur.com/NJCFaX9.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,c,https://i.imgur.com/AvuY7Uu.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,c,https://i.imgur.com/eXOZl96.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,b,https://i.imgur.com/ixLzE1g.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,d,https://i.imgur.com/ueggdMO.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,b,https://i.imgur.com/LuBcwHq.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
106,c,https://i.imgur.com/utIMrEZ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,a,https://i.imgur.com/voqMZUO.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
109,b,https://i.imgur.com/mfdtbtB.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
111,a,https://i.imgur.com/XjiHC9m.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
112,c,https://i.imgur.com/MA3i6Va.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
113,b,https://i.imgur.com/fFUR9e6.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
114,c,https://i.imgur.com/mvHwBKD.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
115,c,https://i.imgur.com/DvqWbtd.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
116,a,https://i.imgur.com/TsLPxlf.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
118,c,https://i.imgur.com/9jW4XgD.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
119,a,https://i.imgur.com/OIfPTMr.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
120,c,https://i.imgur.com/434AYcA.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
121,d,https://i.imgur.com/G5eKlXQ.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
122,c,https://i.imgur.com/ctN4OKv.png,locopilot_electrical,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
