,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/HTKksWc.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/iiu0dg5.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,d,https://i.imgur.com/FAbPPIz.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/adBTXzm.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,c,https://i.imgur.com/QmKewxC.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/tlG6u2H.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/kjN6q9e.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/80STyp9.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/vj1tqGM.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/DQhVtL3.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,c,https://i.imgur.com/79p2DfG.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/dAd0wxI.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/9zHxpzP.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/UUzB4F3.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/gozhljs.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/1T3EqNs.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,d,https://i.imgur.com/3OtOrN2.png,locopilot_electrical,A,B,C,D,10.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
