sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,B,https://i.imgur.com/q4QqCBu.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,B,https://i.imgur.com/Zf5Gt1q.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,A,https://i.imgur.com/uDyuPu2.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/aSNMS89.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,A,https://i.imgur.com/R75U5E2.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/x1syAIq.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,A,https://i.imgur.com/wMgR3eP.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/ddWnzUX.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/qkbET0e.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/0j5LSs3.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,C,https://i.imgur.com/pQ7kRp1.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,A,https://i.imgur.com/bKklZrC.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,A,https://i.imgur.com/vRYWRyc.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/BL5OL7t.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/tkSLTG8.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,A,https://i.imgur.com/OBdhk2C.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,A,https://i.imgur.com/OUBuQwf.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,D,https://i.imgur.com/UaRixE0.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,D,https://i.imgur.com/qESymA0.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/43uBERB.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,C,https://i.imgur.com/CKEXywa.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,A,https://i.imgur.com/Alyoe3U.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/S2cUavm.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,C,https://i.imgur.com/LEKUBcJ.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/xHHJmVS.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,A,https://i.imgur.com/H0oblKr.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,D,https://i.imgur.com/0Ba81uW.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,A,https://i.imgur.com/kLG9ew0.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,B,https://i.imgur.com/9TVE38J.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,D,https://i.imgur.com/nSxZYmn.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,D,https://i.imgur.com/KBfXJkr.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/TqjZue4.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,C,https://i.imgur.com/lj9T0pa.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/BGUTwOe.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,A,https://i.imgur.com/lalYlMK.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/dxyE0Fz.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,D,https://i.imgur.com/gqOP2Uw.png,locopilot_electrical,A,B,C,D,1.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
