,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/lZ9RZvy.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/1aOVJAW.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/QMFaH7u.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,d,https://i.imgur.com/JEwlC7k.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/Ikbwpuz.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/xUmTlPn.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/7TKDHW4.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/kWElYzy.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/wD5A3f5.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/O27xoHF.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,c,https://i.imgur.com/YefuJwi.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,d,https://i.imgur.com/1FOZOfA.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/DBnS36z.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/tw7sVAg.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/WHU2DPc.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/dpRMM1l.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,d,https://i.imgur.com/WBTqVWC.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/cbELFSX.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/a6rrkVz.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,a,https://i.imgur.com/RQA41AV.png,locopilot_electrical,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
