,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/kAGwsKn.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/I77nnrV.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/J14Q1S0.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/zy5w1Fh.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/VDYuiON.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/z5p2qYH.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/mpHip6J.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/baaPw2v.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/HRmCRbj.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/5f9TZmG.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,c,https://i.imgur.com/cGO2XpV.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/LNQLHcU.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/784xsis.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/HblLQGj.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/rcxISJQ.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/7sJ95gN.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/fKoO3cV.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/iYnV1li.png,locopilot_electrical,A,B,C,D,18.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
