,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/zqRSSLE.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/YGUjPTB.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/xCD6Uhn.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/h2PE4PC.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/tENhRaF.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/VCgnNji.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/TXerayz.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/T5Mx02e.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,d,https://i.imgur.com/atxRTSX.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/wacwMWl.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/5KGsew9.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,b,https://i.imgur.com/FVQw6Fy.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,d,https://i.imgur.com/CZoK6oB.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/fZI9eIx.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/LhmATPM.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/OuFnKP5.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/GpKFsI1.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/XKzWKMS.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/t7KU5Fz.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/fQuBMix.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/qR5niZ6.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/Ol72wGf.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,c,https://i.imgur.com/e7iyOjB.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/5C1OEvQ.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/zsVPngP.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/ZPnJqQk.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/3QosR2P.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,b,https://i.imgur.com/NMWLZcH.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/QMJKLXB.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/c4CZ9Bm.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,b,https://i.imgur.com/tGMb9ux.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,b,https://i.imgur.com/hdSSkgZ.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,b,https://i.imgur.com/GPE9KPd.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,a,https://i.imgur.com/zpxttp8.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,c,https://i.imgur.com/RbKRwps.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/zYfP2fq.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,b,https://i.imgur.com/Bnlhmtv.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,b,https://i.imgur.com/H8a06zJ.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,b,https://i.imgur.com/8cM8PBw.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/oePSEhY.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,a,https://i.imgur.com/DhxjWXM.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,c,https://i.imgur.com/SZAz7ko.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/m6Xszuy.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/9CaOLCp.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,d,https://i.imgur.com/fekUD2r.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,c,https://i.imgur.com/X4w5T1b.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,c,https://i.imgur.com/lBPCJyh.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,a,https://i.imgur.com/9dNIgcV.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,a,https://i.imgur.com/2yi7UEY.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,b,https://i.imgur.com/7ghnW34.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,c,https://i.imgur.com/iOpINpU.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,d,https://i.imgur.com/CL83XCc.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,c,https://i.imgur.com/lCFfxiw.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,b,https://i.imgur.com/uoaUzGO.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,c,https://i.imgur.com/sWdxJeT.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,c,https://i.imgur.com/3uO3RtC.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,c,https://i.imgur.com/4xdCxWl.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,b,https://i.imgur.com/RXhs18Y.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,c,https://i.imgur.com/MCeHrmq.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,a,https://i.imgur.com/04aErmT.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,b,https://i.imgur.com/QOOrcKj.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,b,https://i.imgur.com/38ZGHe2.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,a,https://i.imgur.com/9Q56dl5.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,b,https://i.imgur.com/aKSahNG.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,b,https://i.imgur.com/HTuRrKo.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,b,https://i.imgur.com/TjPrCCi.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,c,https://i.imgur.com/uM4w1p0.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,c,https://i.imgur.com/7s1bL28.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,a,https://i.imgur.com/RqX6jTv.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,b,https://i.imgur.com/z1xNlxr.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,b,https://i.imgur.com/V6TEb7m.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,b,https://i.imgur.com/BpLY3Q9.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,b,https://i.imgur.com/L4VouZ0.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,b,https://i.imgur.com/xfZNmN8.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,b,https://i.imgur.com/LyZu39Y.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,c,https://i.imgur.com/ILvlXd3.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,d,https://i.imgur.com/LZT28kB.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,d,https://i.imgur.com/WmnFfAW.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,d,https://i.imgur.com/abpYwAT.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,d,https://i.imgur.com/9W6Lypb.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,c,https://i.imgur.com/xa3qQVH.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,a,https://i.imgur.com/gixeI88.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,d,https://i.imgur.com/Ddu2Moi.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,d,https://i.imgur.com/rlwKgbv.png,locopilot_electrical,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
