,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
19,d,https://i.imgur.com/OsNEJfK.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/Q9Z7bqb.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,b,https://i.imgur.com/C6xKWwf.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/Rub3085.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/gdJ59ei.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,b,https://i.imgur.com/n3YGJXj.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/zLg8Lb0.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,d,https://i.imgur.com/uU0RYGx.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/DfnjVGc.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,a,https://i.imgur.com/Vvmc3g4.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,d,https://i.imgur.com/EV1Mjz8.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,d,https://i.imgur.com/NGIj4HR.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,d,https://i.imgur.com/x1inOcN.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,b,https://i.imgur.com/RJef0XS.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,c,https://i.imgur.com/fTXizJU.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,c,https://i.imgur.com/Pklt2Eb.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,d,https://i.imgur.com/ynUJfKB.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,b,https://i.imgur.com/SGSiVOr.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/WZt2Vtm.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,a,https://i.imgur.com/2pLQpEl.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/WTjF9h5.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,b,https://i.imgur.com/qJsrigL.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,c,https://i.imgur.com/gWap4wS.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,c,https://i.imgur.com/bcMFpQ4.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,c,https://i.imgur.com/EskBZrm.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,d,https://i.imgur.com/2dKBVh6.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,c,https://i.imgur.com/wq2oGjk.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,b,https://i.imgur.com/nl5pN12.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,a,https://i.imgur.com/BRsKkh8.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,c,https://i.imgur.com/fp4YDRz.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,d,https://i.imgur.com/9F75nQ3.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,a,https://i.imgur.com/lq6czNn.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,c,https://i.imgur.com/epwCOVQ.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,b,https://i.imgur.com/KgQKiXr.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,c,https://i.imgur.com/SwPIe99.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,d,https://i.imgur.com/F5D0B35.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,b,https://i.imgur.com/dn3a29U.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/v9oKLPO.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/Nhhiiq4.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,a,https://i.imgur.com/PKnokJ4.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,a,https://i.imgur.com/X3IjO6v.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,a,https://i.imgur.com/GWS2h9q.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,a,https://i.imgur.com/JRFaWgs.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,b,https://i.imgur.com/lxHV9m6.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,a,https://i.imgur.com/BObXx0H.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,b,https://i.imgur.com/0BSFmLt.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,b,https://i.imgur.com/2S47ajX.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,b,https://i.imgur.com/sYYtDCS.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,c,https://i.imgur.com/bNd8rYb.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,b,https://i.imgur.com/moF47PH.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,a,https://i.imgur.com/WmiW94w.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,b,https://i.imgur.com/l7VubvA.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,a,https://i.imgur.com/aTwvpQ3.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,b,https://i.imgur.com/boGTPHZ.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,d,https://i.imgur.com/4X8MlxR.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,a,https://i.imgur.com/MtFJ43l.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,c,https://i.imgur.com/yEN5fsR.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,b,https://i.imgur.com/9YuPi8e.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,a,https://i.imgur.com/KbuHx1e.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,b,https://i.imgur.com/cJgV1Y9.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,c,https://i.imgur.com/YtHgThL.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,b,https://i.imgur.com/vtUSgRJ.png,locopilot_electrical,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
