,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
3,a,https://i.imgur.com/WFM0mRX.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,d,https://i.imgur.com/WXtrldz.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/nEbcwfL.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/pkYomwk.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/wk5loUp.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/ZzDgpot.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/IwlcJHv.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/XYQQhYa.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/3edmRtx.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/oHY1YDc.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/KQpQk9d.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/lBU9QR1.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/yNiQdCV.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/sdOApiM.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/eiFaZ30.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/WyHUyox.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/QJF1fUa.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,c,https://i.imgur.com/bKUiMbQ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/ajbmvqs.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/xZPxDEh.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,b,https://i.imgur.com/E5kER1T.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/7vNXzX2.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,d,https://i.imgur.com/JnR7V9U.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/5hgW8Tq.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,b,https://i.imgur.com/lGN4K8Z.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,c,https://i.imgur.com/fT5MJmv.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/JrBkTiz.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,b,https://i.imgur.com/Cj8DbZG.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
