,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/8Impkt3.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/FpuU4YD.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/zPDEDie.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/feJnUe1.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/PXtoXiv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/Ohp3iO7.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/ep1Hfyz.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/MTswMRa.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/aic4YVU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/Xz6jzcI.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/zvb70HY.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/sLJPAYU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/l3gIm9K.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/gDS7bxU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/BB7FFQc.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/RrzP8Pk.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/h1wVDDM.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,d,https://i.imgur.com/aio10Jm.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/DYX1bFH.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/IfsudVW.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/bUHHqUs.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/uuHZHTv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,c,https://i.imgur.com/rmkPpYk.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/tlKF9h1.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,d,https://i.imgur.com/xKdfIq1.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/VHWmWG6.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,b,https://i.imgur.com/UY3t02d.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/kDw1Wti.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/u6hcAfw.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,b,https://i.imgur.com/SjynrVn.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,c,https://i.imgur.com/5DvEIbk.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/60JiJSF.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
