,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/7qTPYtH.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/4CUkM3E.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/WMTrnzN.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/yjrVhvy.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/1F7RxAe.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/FHrX8J8.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/SpOuEn8.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/lRJJP6D.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,c,https://i.imgur.com/yLvNHCJ.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/W3M7ATs.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://i.imgur.com/K1VkxJj.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/Sum7W7y.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/w7fmFJI.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/9umYQ18.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,d,https://i.imgur.com/lJCk7aQ.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/ZBDcziW.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/54kpbvK.png,locopilot_electrical,A,B,C,D,9.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
