SL.NO.,correct,QuestionLink,section Type,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/XARTN7P.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,B,https://i.imgur.com/ZigJEPz.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,C,https://i.imgur.com/SatBE4g.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,B,https://i.imgur.com/UI7v4vH.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,B,https://i.imgur.com/BDBwhY1.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,C,https://i.imgur.com/mIefuJM.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,D,https://i.imgur.com/eOJ3sL3.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,B,https://i.imgur.com/HsE7Msj.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,D,https://i.imgur.com/8LQ7dp9.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/JKn9s6f.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,C,https://i.imgur.com/AENJxSf.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/KUrUrkQ.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,C,https://i.imgur.com/0UVoLR4.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,C,https://i.imgur.com/MMnAqYS.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,C,https://i.imgur.com/LINreO0.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,B,https://i.imgur.com/0vZLZbt.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,A,https://i.imgur.com/IGa6fJR.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,C,https://i.imgur.com/Zgu55EA.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,C,https://i.imgur.com/JLoNJ5i.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/m3tRL8G.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,A,https://i.imgur.com/WRtGjhe.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,A,https://i.imgur.com/d1epKNy.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/n9fP8vi.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,C,https://i.imgur.com/rFNxy5J.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,A,https://i.imgur.com/VPj24jC.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,A,https://i.imgur.com/IR7SiFX.png,locopilot_electrical,A,B,C,D,2.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
