SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/dQHyZ0I.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,B,https://i.imgur.com/YtL23gY.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,B,https://i.imgur.com/RnVntch.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,B,https://i.imgur.com/ibIwM4d.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,B,https://i.imgur.com/QR5OKY9.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,A,https://i.imgur.com/JE13P2F.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/ss3nFq9.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,D,https://i.imgur.com/rjplSyv.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/XSe5SlZ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/RD4aFVV.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,A,https://i.imgur.com/cxEgqia.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/CGcts7t.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,C,https://i.imgur.com/WDN104V.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,D,https://i.imgur.com/pYwWFRa.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,B,https://i.imgur.com/oqvcxF0.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
