,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/7y8ajbb.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/gEXiqRa.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/oTqbHKa.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/8E3HxTI.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/NNzpe1Z.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/sUaOsN7.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,c,https://i.imgur.com/ihCMqsQ.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/ozMAvjk.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/54kAjZE.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/PMeGuZo.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://i.imgur.com/U844s0Z.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/gToDwFN.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/Di6ALyz.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,d,https://i.imgur.com/bpKVxLs.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/5KRU07z.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
