SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/mGNaGTr.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,A,https://i.imgur.com/ILHlHJL.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/STFqJxo.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,B,https://i.imgur.com/el6WNDC.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,D,https://i.imgur.com/BOHdGn1.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/JCG2Rq0.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/mbRNgJN.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,C,https://i.imgur.com/EVMXKJo.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/aHr0ZFU.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,D,https://i.imgur.com/ki9D3i1.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,A,https://i.imgur.com/O8HWVVk.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/WpVJ6YF.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,A,https://i.imgur.com/txLOEXT.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,C,https://i.imgur.com/3jmMahE.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/1rc9uGB.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,B,https://i.imgur.com/Vvp8BjR.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/1qjie9c.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/nSYbxYM.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/Mty4UBt.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/wxEeXGl.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
