sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/W7ffV5k.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/I0gGy5g.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/eNQjO6K.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/8xfK9SW.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/PFIK7VM.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/mHqDWAD.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/qhINiQl.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/I7Ie0Hd.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/GRMmgRf.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/G6nuQlL.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/OnV0ugh.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/nOOYGPs.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/j3cJRjM.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/zu5EmJW.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/L7BP2vN.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/KKu6A8J.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/oCqeYST.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/hdavFFA.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/lWCJRpa.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/1Z7v3YX.png,locopilot_fitter,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
