sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/qUG4RJa.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/Mf2D7ev.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/Z8tabaX.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/CoPtHGA.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/5hkviJu.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/NIsCsMR.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,d,https://i.imgur.com/DydqXTV.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/3x0k9JL.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/9sgIV8r.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/WndIB3w.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/CVwnyKP.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/3sBe7Dl.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/Rp7zIPm.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,c,https://i.imgur.com/DDnCTRi.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/eYCfqVr.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,d,https://i.imgur.com/Sa5FUbG.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/5iVEpaX.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/917CNHU.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/4PozMkW.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/PxHRyxa.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/Gvjhh5B.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,a,https://i.imgur.com/ohtmKTT.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/ffHNnzP.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,c,https://i.imgur.com/OBZ9ZaJ.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,b,https://i.imgur.com/qZDrRvW.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,c,https://i.imgur.com/TFgcZKO.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,a,https://i.imgur.com/62nhJVn.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,a,https://i.imgur.com/1YCdsWl.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/gdnsXiR.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/hJX0St8.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/c0aYJ1m.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,d,https://i.imgur.com/ArkCH7u.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,d,https://i.imgur.com/fMRxVGZ.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,a,https://i.imgur.com/2RGxFuE.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/7Ga0Zdy.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,b,https://i.imgur.com/kcteXON.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,a,https://i.imgur.com/iYVwDgn.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,a,https://i.imgur.com/yYAWEsB.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,a,https://i.imgur.com/Qxm2f8f.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,c,https://i.imgur.com/pngcmDi.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,a,https://i.imgur.com/jXbSYHA.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,a,https://i.imgur.com/aAgsnc5.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,a,https://i.imgur.com/IHjLPGC.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/wNUhOHH.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/ytZvfMK.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/3466fBR.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,a,https://i.imgur.com/SsMCaPi.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,a,https://i.imgur.com/qrCSBTC.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,c,https://i.imgur.com/gR9uloM.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,c,https://i.imgur.com/fhUGgWc.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,a,https://i.imgur.com/E6hFZA4.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,b,https://i.imgur.com/kcofpUG.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,d,https://i.imgur.com/DtUTbFq.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,d,https://i.imgur.com/RaMvMdO.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,d,https://i.imgur.com/KbCvGBJ.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,d,https://i.imgur.com/n8TNOWF.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,c,https://i.imgur.com/aQnRuDO.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,d,https://i.imgur.com/ErLIksB.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,c,https://i.imgur.com/PIZuxFX.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,a,https://i.imgur.com/abnqvec.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,d,https://i.imgur.com/sBD8SRt.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,c,https://i.imgur.com/zKdZt3f.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,a,https://i.imgur.com/SXB53Ar.png,locopilot_fitter,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
