sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/EpFXpey.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/HVQEKRk.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/4OILGRs.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/lyWkVoq.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,c,https://i.imgur.com/Yx8s55c.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/SRd2M6n.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/c2n7XUY.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/HkziVgw.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/vKtzAiN.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/WpeIJNC.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/mzdGPvq.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/8PUgXXU.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/ByD1Eqy.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/TbMPdu2.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/DEwguzr.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/w7OsFnU.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/qzgcP4m.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/SGjwxXH.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,b,https://i.imgur.com/ETYzy2m.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/8X7bUSf.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/1B7PKmx.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,b,https://i.imgur.com/mgIUGp6.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/BV0W6Rq.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/dV1TlNl.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/5ldwGpO.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,a,https://i.imgur.com/1ptDzWx.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,b,https://i.imgur.com/ND7s4wg.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/x6pwuZH.png,locopilot_fitter,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
