sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/EPaUmVM.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/pKSLQ6o.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,d,https://i.imgur.com/cXwdIFv.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/fyFemPJ.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,b,https://i.imgur.com/DqfIvSX.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/GeR3MoB.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/3UoAply.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/qtO9lSb.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,c,https://i.imgur.com/FTGbBzP.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/8SVulea.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/Orfmhzi.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/rxflSVz.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/D8eIw8V.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,b,https://i.imgur.com/vZ1AksP.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/WZiexGh.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/OMwMO20.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,d,https://i.imgur.com/A3eYqv1.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/3XPSB2h.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/hZqDSH8.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,b,https://i.imgur.com/Lp5wmIh.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/LFIFLbW.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/rigBEaX.png,locopilot_fitter,A,B,C,D,16.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
