sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/2N2mDta.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/VPksTHr.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,d,https://i.imgur.com/cMXn6PK.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/ioODzaH.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,b,https://i.imgur.com/mFxH70W.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/3yWZged.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/4uVpodo.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/SgR6FpV.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/UQbLr6Q.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/vCcD60r.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,d,https://i.imgur.com/u3ZGdvs.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/9hafrwU.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/aqwcqui.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/YPvxDQ2.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/qAu8q7l.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,d,https://i.imgur.com/zDmD3tk.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/RaSXWso.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/RrzQmKE.png,locopilot_fitter,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
