sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/mG3tQAS.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/IdBWzfi.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/uaFrDdO.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/E9xTdKM.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,c,https://i.imgur.com/VW3xWES.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/WEr3BrI.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,d,https://i.imgur.com/65yhmqd.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/FcN7KsZ.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/aIKYS8f.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/luykT8t.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/DgEpK5v.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/q8rhKwZ.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/qUBmnc2.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/EYNx9kn.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/AZNB1Bn.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/iSdjahf.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/rQI7voi.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,c,https://i.imgur.com/ES8h5KG.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/YdZqnWz.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/UckMbc3.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,c,https://i.imgur.com/hvN5lpz.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/ygFWof5.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/5enz2Gp.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/dqrky9m.png,locopilot_fitter,A,B,C,D,12.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
