sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/V7ebYM3.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,b,https://i.imgur.com/JfUw1YN.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/bUlWN1h.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/o5iTNeG.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/wSQ6Enb.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/EFFktK6.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/MC0u6Qr.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/tylq4jh.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,b,https://i.imgur.com/IJmarxl.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/8CpJweY.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/1NxfCf5.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/IrFxY3g.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/eibQ1Hr.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/leZv2fp.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/oJyTTEF.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/LtXAN7V.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/EmU9Aip.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/SNrNRBe.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/E9V6bea.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/D1MTOYD.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/dATpdg7.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/ZppdAto.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/PcrpZ1i.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,a,https://i.imgur.com/yZ3s2Nk.png,locopilot_fitter,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
