sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/shzl96f.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,c,https://i.imgur.com/qdBxKcw.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,d,https://i.imgur.com/TGcsC5o.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/TMjg2OZ.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/bloFHPW.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/vQ3kDbW.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,c,https://i.imgur.com/Y7TDqXG.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/sEw67WD.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,d,https://i.imgur.com/ahu0PCc.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://i.imgur.com/2V2Fz7C.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,c,https://i.imgur.com/y6TIAO1.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/F9og3Fh.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/WzV45SK.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/Stx3yOh.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/IqvD8dp.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/gWA1Wcx.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/91UY7TA.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/EDNmHp6.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/hDCXw5G.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/IH5Kqo6.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,b,https://i.imgur.com/z0cWBn9.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/ie3uBLU.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,a,https://i.imgur.com/4uTdSIR.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/YxytOK6.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,c,https://i.imgur.com/ZbgvQdY.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,d,https://i.imgur.com/GCkPsqa.png,locopilot_fitter,A,B,C,D,8.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
