sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/kruvBOm.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://i.imgur.com/KyBbhhm.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/3RatSH3.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/WNV6y9q.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/mvtL5FN.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/GL5UVoP.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,c,https://i.imgur.com/IcOvqg3.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/VnwD1AP.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://i.imgur.com/xTrIdgm.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/XFyJCpA.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/qEECOI7.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/rFnaWX8.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,c,https://i.imgur.com/dSn1uGS.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/wBlO5ux.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/BefvgGo.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,c,https://i.imgur.com/nXbRDv8.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/Sqe9Yqr.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/mAdLI3u.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/aL8dscr.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/cUzFX6a.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/wz52x4a.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,b,https://i.imgur.com/3OJzI2R.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/IcBFnpe.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/lw3CzhF.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/BabwH9T.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,c,https://i.imgur.com/XBth8Nc.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/XqA0y6V.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/LpESjOG.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,a,https://i.imgur.com/iH2Pr20.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,c,https://i.imgur.com/WwGMnOR.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,c,https://i.imgur.com/V2YJWsn.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/4H4KCFM.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/P0xggmz.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,c,https://i.imgur.com/gW21zAe.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,b,https://i.imgur.com/ZbjWMpk.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/N9k0865.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,a,https://i.imgur.com/j0GXUxz.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,a,https://i.imgur.com/5WxcKUu.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,a,https://i.imgur.com/vO96wsp.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,a,https://i.imgur.com/LR1gmvi.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,a,https://i.imgur.com/SVSlVFp.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,c,https://i.imgur.com/58hntod.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,a,https://i.imgur.com/5bgmVfh.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,a,https://i.imgur.com/tgKBcvB.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,a,https://i.imgur.com/h5ipNAu.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/ZIGPmtw.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,a,https://i.imgur.com/BPOeOtx.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,c,https://i.imgur.com/y9mbcWu.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,b,https://i.imgur.com/OSz9X3v.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,b,https://i.imgur.com/zTrwZIN.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,b,https://i.imgur.com/L2TPcPm.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,a,https://i.imgur.com/ZpO5gyq.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,c,https://i.imgur.com/A9Dtgif.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,a,https://i.imgur.com/EgKNNwX.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,d,https://i.imgur.com/msFsvrK.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/CLJ634L.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,d,https://i.imgur.com/YDR7aGX.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,c,https://i.imgur.com/9Hq7cc5.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,a,https://i.imgur.com/qkTTL94.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,d,https://i.imgur.com/WySro9q.png,locopilot_fitter,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
