sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/ANE9xvQ.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/sJC5g8e.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/w2zodJi.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://i.imgur.com/MFxKGwX.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,a,https://i.imgur.com/swFbyyr.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,c,https://i.imgur.com/H5SXU9s.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/r0CbZKK.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,c,https://i.imgur.com/fe9Cw3R.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/LiT7kWP.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/83Uz2rC.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/zPekW4J.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/0uHbwc4.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/bPGlajn.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,c,https://i.imgur.com/Q5joio7.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/z78wOD1.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/mDk92fU.png,locopilot_fitter,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
