sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/5bgNUQj.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/rPIoa3G.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,a,https://i.imgur.com/Mrs7Dwr.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/v3U0qIH.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/ZMJWLCK.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/QV9WECe.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,b,https://i.imgur.com/GJ59SsF.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/gH51yvC.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/RlpJUGh.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,a,https://i.imgur.com/sKVNC5a.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/LZegVyl.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,b,https://i.imgur.com/cd068nT.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,b,https://i.imgur.com/0NzIfNc.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/lXS5sFu.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,a,https://i.imgur.com/Jtn6bU0.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,b,https://i.imgur.com/yDFdPny.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,b,https://i.imgur.com/OFmIsH4.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,c,https://i.imgur.com/j0BTQVb.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,d,https://i.imgur.com/g7qDdWT.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/bhObgzh.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,a,https://i.imgur.com/Edt7Iip.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/lJpJ0Il.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,d,https://i.imgur.com/mrBGAc6.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/pbcEbOX.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/YTyylfo.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,b,https://i.imgur.com/4vkP0ou.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,a,https://i.imgur.com/PwuJN1l.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/PevrAPH.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/Mn9PBxn.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/jUi3tUT.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,b,https://i.imgur.com/5qcHmkT.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,d,https://i.imgur.com/JXuYdc6.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,a,https://i.imgur.com/o6C1MXW.png,locopilot_fitter,A,B,C,D,14.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
