sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/0VHD0AG.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/hYpWVFm.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,c,https://i.imgur.com/JNdz0YO.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,a,https://i.imgur.com/pBGEbPa.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/Gorvs0p.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,a,https://i.imgur.com/ZQ3DvPX.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://i.imgur.com/HISE1dZ.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,a,https://i.imgur.com/j6ZAA2O.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,b,https://i.imgur.com/bHiKTkc.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/rnBPMlt.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,d,https://i.imgur.com/AneSPcH.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/l8mbxVr.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/DCMy8Lj.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,b,https://i.imgur.com/RyjYzWB.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/ZONyH1E.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/otzXSdN.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/dvZEhFy.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/3hwl1my.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/8IgIVfS.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/JUETfKw.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,a,https://i.imgur.com/whmNQgY.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/yNO0XZN.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,d,https://i.imgur.com/cXKFqRQ.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/wyGlD7P.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,c,https://i.imgur.com/QqITBH3.png,locopilot_fitter,A,B,C,D,13.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
