sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/PydvaZH.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
2,d,https://i.imgur.com/1gtceD2.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
4,b,https://i.imgur.com/ZiZl13A.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
5,d,https://i.imgur.com/VZhzWqe.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
6,b,https://i.imgur.com/JKIeZAj.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
8,d,https://i.imgur.com/D2pm7Xv.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
9,b,https://i.imgur.com/lDEI9iR.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
11,b,https://i.imgur.com/HIPqieB.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
12,a,https://i.imgur.com/LoaWOMI.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
13,c,https://i.imgur.com/f0xDALc.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
15,b,https://i.imgur.com/Un0C9i8.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
16,a,https://i.imgur.com/OuWQlnf.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
17,c,https://i.imgur.com/CgAYdvT.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
18,c,https://i.imgur.com/nz8LIK3.png,loco_civil,A,B,C,D,50.1,loco_civil,bi,JEN
