sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/iuR1nDK.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
2,a,https://i.imgur.com/jO6cwu5.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
3,d,https://i.imgur.com/pdIFXEx.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
4,b,https://i.imgur.com/DU67HX4.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
5,a,https://i.imgur.com/APfe1dl.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
6,b,https://i.imgur.com/E2d6uwU.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
7,d,https://i.imgur.com/PcBzteC.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
8,d,https://i.imgur.com/Ht3jyuh.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
9,b,https://i.imgur.com/tp7W0i8.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
11,b,https://i.imgur.com/qt0pqGC.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
12,d,https://i.imgur.com/Z0T5hk5.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
13,d,https://i.imgur.com/2LLYiJd.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
15,d,https://i.imgur.com/IXFoZpa.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
16,d,https://i.imgur.com/9iNo6Zp.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
18,c,https://i.imgur.com/bJLOWLU.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
19,d,https://i.imgur.com/6OylK9v.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
20,a,https://i.imgur.com/ZHikEiL.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
21,b,https://i.imgur.com/RsUP5E6.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
22,b,https://i.imgur.com/hiFfrgy.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
24,b,https://i.imgur.com/Zl6M6zr.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
25,d,https://i.imgur.com/zUGEKXC.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
26,b,https://i.imgur.com/HfKdCnV.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
27,b,https://i.imgur.com/tLgUY5m.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
28,b,https://i.imgur.com/pSFt2sc.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
