sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,c,https://i.imgur.com/T6Hs8dN.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
2,a,https://i.imgur.com/1d9PqgL.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
3,c,https://i.imgur.com/HWKpsUj.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
4,d,https://i.imgur.com/503VWxz.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
5,b,https://i.imgur.com/m4eXylp.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
6,c,https://i.imgur.com/tQbdcyf.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
7,c,https://i.imgur.com/mmn0NW2.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
8,a,https://i.imgur.com/9v2i0Dj.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
9,d,https://i.imgur.com/qQdWb6I.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
10,a,https://i.imgur.com/w5nu5ij.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
11,b,https://i.imgur.com/pgHZhS4.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
12,a,https://i.imgur.com/HihFtrh.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
14,b,https://i.imgur.com/1kKw3mn.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
15,b,https://i.imgur.com/8IpXWik.png,loco_civil,A,B,C,D,12.7,loco_civil,bi,JEN,Trosion
