sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/Qp7sY3E.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
2,b,https://i.imgur.com/yoj8eaX.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
4,b,https://i.imgur.com/hJhZJ6i.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
5,a,https://i.imgur.com/t8zykx5.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
6,c,https://i.imgur.com/7VZywwX.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
7,a,https://i.imgur.com/P9vKGlv.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
8,c,https://i.imgur.com/F02NQf6.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
9,b,https://i.imgur.com/oGhwpRh.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
10,a,https://i.imgur.com/ffHLMI3.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
11,b,https://i.imgur.com/KSq1IEp.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
13,a,https://i.imgur.com/cdigfEH.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
14,c,https://i.imgur.com/rkCcCUq.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
15,a,https://i.imgur.com/VGQs7qx.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
16,b,https://i.imgur.com/ZbGV2BK.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
17,b,https://i.imgur.com/TdpZH1a.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
19,c,https://i.imgur.com/4uYDXAx.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
21,a,https://i.imgur.com/3XOSvtz.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
22,b,https://i.imgur.com/FUaxonA.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
23,d,https://i.imgur.com/aAA2kEg.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
24,a,https://i.imgur.com/4Zez9qO.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
25,a,https://i.imgur.com/U3Bm7ZO.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
26,b,https://i.imgur.com/Wv1vtnF.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
27,d,https://i.imgur.com/2IsP0e3.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
28,b,https://i.imgur.com/6nvncXS.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
29,c,https://i.imgur.com/z5krXcq.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
31,a,https://i.imgur.com/mUKsl3l.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
32,b,https://i.imgur.com/rFMCxOI.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
33,a,https://i.imgur.com/YNsVXdF.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
34,b,https://i.imgur.com/qmlCDkk.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
35,c,https://i.imgur.com/c9FBvKg.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
37,c,https://i.imgur.com/nQFde1U.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
38,b,https://i.imgur.com/uAaaQzZ.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
40,a,https://i.imgur.com/2yVLk5m.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
41,c,https://i.imgur.com/kVGzAZb.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
42,a,https://i.imgur.com/7j3h72w.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
43,a,https://i.imgur.com/AYJRnEu.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
44,d,https://i.imgur.com/InKmee9.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
46,c,https://i.imgur.com/C5V0COt.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
47,b,https://i.imgur.com/i0fldtZ.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
48,a,https://i.imgur.com/c4EuXPS.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
50,c,https://i.imgur.com/scnrfN0.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
51,c,https://i.imgur.com/foBhbq7.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
52,b,https://i.imgur.com/JXegOrE.png,loco_civil,A,B,C,D,2.3,loco_civil,bi,JEN
