sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/9tdoQRf.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
2,c,https://i.imgur.com/6MC1Oxq.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
4,a,https://i.imgur.com/odduOuG.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
6,b,https://i.imgur.com/IfV04Al.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
7,b,https://i.imgur.com/x5hd1nV.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
8,c,https://i.imgur.com/lQuw7q5.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
9,c,https://i.imgur.com/rrzWMWU.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
10,a,https://i.imgur.com/PUeG1fw.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
12,c,https://i.imgur.com/aWtX6BX.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
13,d,https://i.imgur.com/1uJebUB.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
14,c,https://i.imgur.com/edg1z9K.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
15,d,https://i.imgur.com/HliHViY.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
16,c,https://i.imgur.com/3uPUt6Q.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
17,a,https://i.imgur.com/B16dbiD.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
18,d,https://i.imgur.com/0W2JPdb.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
19,a,https://i.imgur.com/PXBLGwN.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
20,c,https://i.imgur.com/07V7i8i.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
22,a,https://i.imgur.com/cckIoCl.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
23,a,https://i.imgur.com/wHq9tPC.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
25,b,https://i.imgur.com/Rq8CePN.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
26,b,https://i.imgur.com/PH8KVCA.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
28,a,https://i.imgur.com/VTwre79.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
29,a,https://i.imgur.com/GeFk8pq.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
30,b,https://i.imgur.com/9RaNKj5.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
31,c,https://i.imgur.com/2PYD3ik.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
32,a,https://i.imgur.com/6Zxj7FJ.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
33,b,https://i.imgur.com/meNRriI.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
34,b,https://i.imgur.com/BUcNY60.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
35,b,https://i.imgur.com/0jU7Xq9.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
36,d,https://i.imgur.com/kee0gzt.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
37,b,https://i.imgur.com/He2Hwpd.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
39,a,https://i.imgur.com/4qTZ7tV.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
40,a,https://i.imgur.com/1mpGmLu.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
41,b,https://i.imgur.com/cYyoiQn.png,loco_civil,A,B,C,D,2.1,loco_civil,bi,JEN
