sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/4plkvEf.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
2,b,https://i.imgur.com/r9u2EyR.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
3,a,https://i.imgur.com/TfMeb4J.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
5,b,https://i.imgur.com/jsO0Mti.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
6,d,https://i.imgur.com/Uw0WOYc.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
7,a,https://i.imgur.com/q9INCOk.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
8,c,https://i.imgur.com/BaZ41Ty.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
9,c,https://i.imgur.com/cJjDEqd.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
11,b,https://i.imgur.com/fpYRv8Z.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
12,c,https://i.imgur.com/i8bmnNZ.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
14,b,https://i.imgur.com/0HV8N3J.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
15,a,https://i.imgur.com/GOU1EyO.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
16,d,https://i.imgur.com/1YvRZjZ.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
17,a,https://i.imgur.com/nmC3jvT.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
18,c,https://i.imgur.com/4mP5eZD.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
20,d,https://i.imgur.com/XWp8jZo.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
21,d,https://i.imgur.com/Uyuquje.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
22,a,https://i.imgur.com/eem6mZ1.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
23,d,https://i.imgur.com/tlBNvmm.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
24,a,https://i.imgur.com/hAd8Knn.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
26,b,https://i.imgur.com/eI160H4.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
27,b,https://i.imgur.com/doDIVWv.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
28,d,https://i.imgur.com/X1rHrcX.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
29,b,https://i.imgur.com/mXd70mH.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
30,d,https://i.imgur.com/sdi7nSS.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
31,c,https://i.imgur.com/ALYFVa8.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
32,b,https://i.imgur.com/VsFhXfH.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
33,b,https://i.imgur.com/RfpM5Fm.png,loco_civil,A,B,C,D,2.7,loco_civil,bi,JEN
