sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources,name
1,c,https://i.imgur.com/Qvfgqsa.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
2,c,https://i.imgur.com/pR9qkg6.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
3,b,https://i.imgur.com/lJ3tu5g.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
5,c,https://i.imgur.com/Nf7rvWU.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
6,d,https://i.imgur.com/LUGP3MX.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
8,c,https://i.imgur.com/VDlkUtn.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
11,d,https://i.imgur.com/LFqdUep.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
12,a,https://i.imgur.com/Xgjr0rP.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
13,d,https://i.imgur.com/tZ82KC6.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
15,b,https://i.imgur.com/AYAv0C8.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
16,b,https://i.imgur.com/9WXJW1h.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
17,d,https://i.imgur.com/c8K44li.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
19,b,https://i.imgur.com/lqhzBQw.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
20,a,https://i.imgur.com/7Ko35dP.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
22,b,https://i.imgur.com/9Ox0Rkl.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
24,c,https://i.imgur.com/Td2zE1N.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
25,b,https://i.imgur.com/aVYcjVH.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
27,d,https://i.imgur.com/jEpmdJG.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
29,c,https://i.imgur.com/7T3uzBp.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN,Tension Members
