sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources,name
1,b,https://i.imgur.com/AdhhKGv.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
2,d,https://i.imgur.com/vc5lNqy.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
4,c,https://i.imgur.com/ZL07dcv.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
5,a,https://i.imgur.com/1l4iA5i.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
6,c,https://i.imgur.com/BIXkeaI.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
7,d,https://i.imgur.com/LCpxb4R.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
8,a,https://i.imgur.com/XXXKift.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
10,a,https://i.imgur.com/SAwAP6x.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
11,c,https://i.imgur.com/Tj2jWXc.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
12,a,https://i.imgur.com/iAG9Lbh.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
13,c,https://i.imgur.com/0o2EC5s.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
14,b,https://i.imgur.com/Dy2ZRcb.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
16,a,https://i.imgur.com/XAhgSEg.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
17,b,https://i.imgur.com/EvHyvlm.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
18,c,https://i.imgur.com/JJwHVst.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
20,b,https://i.imgur.com/4uEsMMz.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
21,d,https://i.imgur.com/hTybV1l.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
23,b,https://i.imgur.com/N4Y9kfR.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
24,c,https://i.imgur.com/5C356Se.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
26,c,https://i.imgur.com/0FOVDAg.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
27,b,https://i.imgur.com/xDp0VDG.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
28,b,https://i.imgur.com/L2mbG2H.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
29,d,https://i.imgur.com/XcgkLcS.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
30,d,https://i.imgur.com/i1UvhOG.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
31,c,https://i.imgur.com/yoj37Eo.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
32,c,https://i.imgur.com/WIDXLYc.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
34,b,https://i.imgur.com/e7h1FvY.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
35,a,https://i.imgur.com/epcIfo5.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
36,a,https://i.imgur.com/ZzjNaY5.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
37,a,https://i.imgur.com/A7JoMB1.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
38,b,https://i.imgur.com/nITozFU.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
39,c,https://i.imgur.com/dV1F6He.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
40,a,https://i.imgur.com/H4VGzhd.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
41,c,https://i.imgur.com/4RtupVV.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
42,a,https://i.imgur.com/fvYdVBZ.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
43,b,https://i.imgur.com/dLDYdb9.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
45,d,https://i.imgur.com/3UBqHNa.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
46,b,https://i.imgur.com/rdfmlBz.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
49,c,https://i.imgur.com/A6pXQSX.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
50,c,https://i.imgur.com/zXC7XCC.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
51,c,https://i.imgur.com/166G1Xt.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
52,c,https://i.imgur.com/gRMqi86.png,loco_civil,A,B,C,D,13.1,loco_civil,bi,JEN,Rivet Connection
