sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,c,https://i.imgur.com/gD9CU1q.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
2,b,https://i.imgur.com/H3nvf19.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
3,b,https://i.imgur.com/eBKLMmR.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
4,a,https://i.imgur.com/cnqRW0s.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
5,b,https://i.imgur.com/6XaUCn3.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
7,a,https://i.imgur.com/tLZPCyf.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
9,a,https://i.imgur.com/UBVPszu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
10,d,https://i.imgur.com/9E2gLVh.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
11,a,https://i.imgur.com/S5rMapt.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
12,b,https://i.imgur.com/HyTFgMm.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
13,c,https://i.imgur.com/NKrEOaG.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
14,a,https://i.imgur.com/jT2Nr7v.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
15,a,https://i.imgur.com/snqdCAu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
16,d,https://i.imgur.com/K1oiuQI.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
18,c,https://i.imgur.com/Z31cPVx.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
19,a,https://i.imgur.com/tvoqKOs.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
31,c,https://i.imgur.com/9obHrxp.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
32,a,https://i.imgur.com/scDusDz.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
33,a,https://i.imgur.com/p9ssQKc.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
34,a,https://i.imgur.com/uS6SscB.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
35,a,https://i.imgur.com/xiNg0gS.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
36,c,https://i.imgur.com/QRAHbF0.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
37,c,https://i.imgur.com/3Ug9B6q.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
38,b,https://i.imgur.com/ukTxdmT.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
39,c,https://i.imgur.com/NuXAetU.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
40,b,https://i.imgur.com/kIYWCzu.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
41,a,https://i.imgur.com/Lkk26wt.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
42,d,https://i.imgur.com/VBqNLtf.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
43,b,https://i.imgur.com/k8ltFyI.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
44,c,https://i.imgur.com/KlO5VJg.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
45,a,https://i.imgur.com/aYqWOrB.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
46,d,https://i.imgur.com/4Q0BuCQ.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
47,c,https://i.imgur.com/LbEP5Ss.png,loco_civil,A,B,C,D,12.1,loco_civil,bi,JEN,Bending moment and sheer force
