sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources,name
2,c,https://i.imgur.com/29AxCcR.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
3,c,https://i.imgur.com/Hu4bsG4.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
4,c,https://i.imgur.com/EAKnfY0.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
5,a,https://i.imgur.com/7aj5YGv.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
6,d,https://i.imgur.com/Gkeimp7.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
7,d,https://i.imgur.com/29thJUP.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
8,a,https://i.imgur.com/uFUHysd.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
9,b,https://i.imgur.com/mXZnq5D.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
10,b,https://i.imgur.com/o8sNPcP.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
12,b,https://i.imgur.com/wRuZ3H0.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
13,c,https://i.imgur.com/g2UDRnL.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
15,b,https://i.imgur.com/ONWUoXc.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
16,a,https://i.imgur.com/tbI2RzQ.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
17,c,https://i.imgur.com/rHX5Ldo.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
18,b,https://i.imgur.com/BqCjQkK.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
20,d,https://i.imgur.com/wKLxUNb.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
21,d,https://i.imgur.com/ifjIm2q.png,loco_civil,A,B,C,D,13.3,loco_civil,bi,JEN,Tension Members
