sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/3rUsUHx.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
2,a,https://i.imgur.com/jQ9JE0Y.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
3,c,https://i.imgur.com/aa3Q0hP.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
4,d,https://i.imgur.com/fenrjNy.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
5,b,https://i.imgur.com/XVnBUEz.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
6,d,https://i.imgur.com/O8OztSg.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
7,d,https://i.imgur.com/V6HHVUl.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
8,d,https://i.imgur.com/CRVk6Dc.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
9,b,https://i.imgur.com/zr3gRVX.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
10,c,https://i.imgur.com/1OhVBas.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
11,b,https://i.imgur.com/K8IhHHY.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
13,d,https://i.imgur.com/B2B4UFS.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
14,a,https://i.imgur.com/LHhcG0j.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
16,a,https://i.imgur.com/4IIOj3P.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
17,d,https://i.imgur.com/gtgVHiA.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
18,a,https://i.imgur.com/POc7pKx.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
19,b,https://i.imgur.com/VpiycLa.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
20,a,https://i.imgur.com/CdLm3V1.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
21,c,https://i.imgur.com/v3Q7qRI.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
22,c,https://i.imgur.com/Or8lfa0.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
23,b,https://i.imgur.com/hDw40tI.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
24,c,https://i.imgur.com/PGDxsWT.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
25,d,https://i.imgur.com/9Ms6fQs.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
