sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources,name
1,d,https://i.imgur.com/PLVHMab.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
2,b,https://i.imgur.com/qrtOzay.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
3,c,https://i.imgur.com/wZQEySV.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
4,a,https://i.imgur.com/sJN7Jqi.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
5,a,https://i.imgur.com/Dte4Kqg.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
6,c,https://i.imgur.com/2h9U4ut.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
7,a,https://i.imgur.com/zPNnzsa.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
8,c,https://i.imgur.com/gLvWZep.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
9,a,https://i.imgur.com/63nBVlF.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
11,c,https://i.imgur.com/6fhG34z.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
13,d,https://i.imgur.com/WqkMTzH.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
14,b,https://i.imgur.com/yLiPBrd.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
15,b,https://i.imgur.com/dO4GrHE.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
16,b,https://i.imgur.com/NSzzFEy.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
17,b,https://i.imgur.com/f3ZPhIl.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
18,d,https://i.imgur.com/0zKD0HG.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
20,b,https://i.imgur.com/UXNn5tE.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
21,a,https://i.imgur.com/aW5ZExh.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
22,a,https://i.imgur.com/rxspdS3.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
23,b,https://i.imgur.com/6N3zWut.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
24,d,https://i.imgur.com/pkUOaBK.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
25,c,https://i.imgur.com/vCXJIoZ.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
27,c,https://i.imgur.com/j5S7Rnx.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
28,a,https://i.imgur.com/sPx2IGo.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
29,b,https://i.imgur.com/sHrkmEc.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
31,a,https://i.imgur.com/je8XqT1.png,loco_civil,A,B,C,D,13.7,loco_civil,bi,JEN,Steel root of trusses
