QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/Dq2lvLz.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/drMcrXm.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/CIIUmzm.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/p8xak3w.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/DJZ5lB2.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/AjEWQxb.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/P6dNvLd.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/Qd8bwfp.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/ENW8sel.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/RiEVXQa.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/kdEfSX6.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/9QvtEVs.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/hgBZONM.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/R3mKij3.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/8S45Xu4.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/uT9ruZI.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/SvZ1MCb.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/1UM4KBL.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/uoq6KWW.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/T35S1hL.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/ZFnAPL6.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/qc212z9.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/GUZHap1.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/Xoo3teN.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
https://i.imgur.com/BWxU0Aa.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,20.1
