QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor
https://i.imgur.com/8SDH7yu.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/6qCyFjl.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/mVKT2ur.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Fk4Y6GI.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/pwbXCPK.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/EatvuED.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/XfNNlew.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Igw1ekN.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/EIfL15p.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/L8VREqj.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/MqBbhWY.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/59A149p.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/IajCdmF.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/aeCrfIW.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Fvt7agW.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/EQTP6yu.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/lf92oAh.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/QuRV5q7.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/WlkNWzr.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/BAIDewY.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/jkh6rTM.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/EHjKjke.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/dQJ9cE6.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/nHtanYn.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/IV8ANt2.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
