QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor
https://i.imgur.com/0d5Ok6H.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Wwb2THX.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/w4VbdpW.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/7L798YG.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/fQouv2G.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/1PiDGdU.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Nt9hMVJ.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/xzlOCC1.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/GIEobjI.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/3mR1sTb.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/XKNgRJa.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/bfSeRek.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/efIWni9.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Mii2hhP.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/HgrJitT.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/FBPzYRz.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Rfzwlpk.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/K2R2dxf.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/lt4bViy.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/VKMVRE7.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/lxFJuXn.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/Uoq5xZM.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/s3lYtTU.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/4gFa9wh.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/8nGQYi4.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/YE3KmcW.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/xyTEJdF.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/7pZnxH2.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/xdIMQtL.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/sDzWT1h.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/BhT2wvA.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/gtRghwg.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/noIqgPx.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/2nW0woD.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/XdZzZ22.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/nX2NVdJ.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/BwKW1OV.png,c,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/NI9GA6q.png,b,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/eeiVAYW.png,a,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
https://i.imgur.com/BzekLWV.png,d,Hindi,groupxphy,A,B,C,D,Lucent,3.1,Groupx
