QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/R7nmKsF.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/2FeXlRf.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/bqgL5sG.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/ivqHHpU.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/pt88pTl.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/T58b0ue.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/TI88NKs.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/1b5pWbB.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/Izsxjby.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/vkhoSNQ.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/dgvDzbq.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/tqMyRT0.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/qDIDGmD.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/A3yofab.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/06QdGST.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/QOb14CF.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/XxZ2Q4m.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/d6vyvRu.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/BflJXHx.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/KnH99xV.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/Ji7PFXI.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/uLu9L6V.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/ILztJtE.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/UBvTVyd.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
https://i.imgur.com/R9JdHhB.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,15.1
