QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor
https://i.imgur.com/TTx5Gja.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/N0K3ZEJ.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/UqTZVEy.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/LvMkWlz.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/fHBXtg7.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/7l3Z56H.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/VUmmrbA.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Th6uWmi.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/A3N8ua0.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/JYHpBQh.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/MOoeXE6.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/ujYpN7f.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/yPYgg2i.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Wjz1xi7.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Q6Okng4.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/EKTqyah.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/nzRkyU3.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/HScWlOU.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/lL4QDp8.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/cyiZdii.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/C6N069x.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Q6ELETk.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/zSJteLP.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/qQXLjoN.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/4d7cnFb.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/EqkpMg6.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/nMRGj01.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/BUQBysG.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/B2UTJlv.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/eH54iun.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/I5xvKmi.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/TTt2FHd.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/BQEVTiu.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/6fCK9GW.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Sa5caHM.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
