QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/GQy8mGR.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/7A5V4LH.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/yPGdDak.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/zD3lc9y.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/0212K3y.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/b7n5lhX.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/Bg91pwZ.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/UWOcNqA.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/OUOicZC.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/pBbqaAG.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/9uXnHq2.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/44VgoQl.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/UUznPpE.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/joTgJlb.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/Ryx30jA.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/eaTMfFt.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/qRwwISf.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/rQkorZM.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/VMgavjG.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/Z6BQr22.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/SqtK6AK.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/DCCD8y9.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/ZXJ07yw.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/rZZNLpp.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
https://i.imgur.com/AnagWfc.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,23.1
