QuestionLink,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor
https://i.imgur.com/2HvihUl.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/ETnhGoU.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/tjs8d9S.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/Nei4hUt.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/5F0gYvL.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/MslOlqo.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/TAIU6wp.png,d,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/OGOtUHU.png,c,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/gmkddiz.png,a,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
https://i.imgur.com/HyFWrbx.png,b,Hindi,groupxphy,A,B,C,D,Lucent,1.1,Groupx
