QuestionLink,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source,category
https://i.imgur.com/VmxEXEI.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/QSAIvRl.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/rB0VzXK.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/l8dUlD2.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/1xtzs7t.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/s7U8GiR.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/lm0PgdE.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/lF3zAWs.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/EDzWxYp.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/E8TGXwy.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/BxJX1zj.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/QZ3uKvD.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/TBlYTS8.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/psBnQya.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/fB0TnE7.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/AE0Tdef.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/hX40G54.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/f0Aji33.png,c,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/zCuXR2P.png,b,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/eXTJxnU.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/tLs1vqy.png,d,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
https://i.imgur.com/owyULCu.png,a,groupxphy,Hindi,Groupx,A,B,C,D,Lucent,13.1
