QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang 
https://i.imgur.com/4jM2mhE.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/uzhoyO6.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/XDomZLH.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/e4syELs.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/iO496BN.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/5IHzqJm.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/7Ohj8df.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/FZoejIZ.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/vjOqYhB.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/oQGeCQs.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/7dyqkkJ.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/6yKfqry.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/SKvALid.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/6SK2YLV.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/Mst9pOs.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/1w5Omqp.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/mh8frZ0.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/EOc1ENW.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/dz3bxv6.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/LZ3yZc9.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/R58PvB0.png,a,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/J4UG1KP.png,b,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/aS33XQF.png,d,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/Knu36q1.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
https://i.imgur.com/pXaSWFX.png,c,groupxphy,A,B,C,D,Lucent,31.1,Groupx,Hindi
