QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang 
https://i.imgur.com/urvyKP8.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/j3jhyZM.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/GJrlYD8.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/3mBOsyZ.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/JV9zyXh.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/JBZJyB6.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/Q5NUC0U.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/8dRkrg9.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/6HUZ8L1.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/4MK98J6.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/ED3EhNB.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/HDXLYES.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/UOlXmSX.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/4zixFtC.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/gqBd4wf.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/5DhT0XZ.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/Om81yrL.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/8U2mzM2.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/im0noli.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/IAGUvfH.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/8oxGqaC.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/MzXGM3m.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/72l2voR.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/Qi01PLc.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/tMG029C.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/sJ3rxbl.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/ZTvbYlp.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/dWzQmas.png,c,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/CwnCunv.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/PegJ8AD.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/VNBKxoT.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/BC5Q2QX.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/YVmPVp2.png,b,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/jp6pIuw.png,d,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
https://i.imgur.com/9vd5a01.png,a,groupxphy,A,B,C,D,Lucent,30.1,Groupx,Hindi
