QuestionLink,correct,sectionType,optionA,optionB,optionC,optionD,source,category,usedfor,lang 
https://i.imgur.com/miAQ9q2.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/m5od4Lu.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/AHAggjB.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/zDO4R4S.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/SvaZh5u.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/3jkX2jG.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/8HgLWqm.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/BKs7nS9.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/UCDwP2j.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/vlog8FZ.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/ygKeZ5c.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/c1WasVp.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/OnqgklR.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/BdBUqyc.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/2rLm36m.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/MMv7sAE.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/oVGCIRz.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/jq8OPP1.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/ngHQLFa.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/DAXWoHi.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/jDmZUUu.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/e6uXbtc.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/RyNzID2.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/CbxisQG.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/JBjiibI.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/ZZglKlT.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/kbzW4rY.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/3w42d8M.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/b9Xvilo.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/ArRS7GB.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/RosTjdo.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/PLcQY6n.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/tY92Sev.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/p3NRlTz.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/e6hwx8c.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/nJosym4.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/6HQ1JcX.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/s2Gw3Z7.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/MQRGZZc.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/CNtdJLF.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/w3S1J6h.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/PtaNYWO.png,d,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/8jRGQOv.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/3aAwKPc.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/tqumuhI.png,b,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/f0UZECb.png,a,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
https://i.imgur.com/rM39kMQ.png,c,groupxphy,A,B,C,D,Lucent,32.1,Groupx,Hindi
