sl.no.,correct,Question_link,direction,explanation,section_type,chp_category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
1,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(01).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(01).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
2,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(02).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
3,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(03).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
4,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(04).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,topic_name,code
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(05).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,Group 13 Element,1
6,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(06).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,14 Elements,2
7,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(07).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
8,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(08).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(09).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
10,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(10).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
