,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/Lym29bN.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/bz6wSKL.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/0e6pSM9.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/twqWhXX.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/A2nacJC.png,1.2,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/MLTPNUr.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/GNcgMNx.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/v3YCnxj.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/7zi5AfF.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/ioHp6jp.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
