,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/BB2U5Qa.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/YSkkCzW.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/eq54tN8.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/dL4jwA3.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/9KEt8Rm.png,1.2,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/BWxCuJd.png,1.3,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/jYh9VNp.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/gHfaThh.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/LlZzwlf.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/lA14Rv2.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/XR8hP6e.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
