,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/yW53KJN.png,1.2,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/dsiIXNx.png,1.3,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/tZjAsiu.png,1.2,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/BpleOqe.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/sVn4dM5.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/jZMLH1g.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/JUyx52E.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/h30mArZ.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/u9ZdmgI.png,1.5,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/npnK7L5.png,1.2,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
