,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/iLS1uIy.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/DlF7ZYL.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/S5VlTE8.png,1.3,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/Fz08JNU.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/gI2F8VO.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/VqhrVlM.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/InIeuMF.png,1.5,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/BAERXG5.png,1.2,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/2saI3Og.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/eWwkJLa.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
