,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/Ux5tfTg.png,1.5,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/xVxPUma.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/TVld2Uc.png,1.2,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/lQ2J5Cw.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/Ike4sWQ.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/DCMU895.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/29G5S4Y.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/WggQTfc.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/jcftmcH.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/ppZflAY.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/Sw4LSum.png,1.5,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
11,https://i.imgur.com/4IcUzKw.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
12,https://i.imgur.com/77JqOPn.png,1.5,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
