,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/ikWmDk4.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/kjpK4lv.png,1.1,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/svSOKeV.png,1.3,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/wIbEmg7.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/4eqzD7W.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/gbCO7iJ.png,1.6,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/neQDwDM.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/5YOlD4p.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/ymnWjhV.png,1.3,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/Af1fDTF.png,1.3,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/TgUle2H.png,1.7,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
