,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/L1g17bI.png,1.3,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/0GSfNAZ.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/ECL5I5X.png,1.7,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/FSgpFy5.png,1.7,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/oYd4pPc.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/1200MEt.png,1.7,d,Hindi,groupgk,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/R79MGpZ.png,1.5,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/9vRDyf6.png,1.3,c,Hindi,groupgk,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/ZyDcXq0.png,1.5,b,Hindi,groupgk,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/MDJKbVq.png,1.3,a,Hindi,groupgk,A,B,C,D,Arihant,Groupx
